,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,Year,Regional code,Country
94,Annapurna Circuit Trek,"
$1,250    USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,1/8/2020,Male,34,Private Sector/Self Employed,Yes,1300000,4,0,No,No,0,2017,4100,South Korea
95,Annapurna Circuit Short Trek,"
$1,250    USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,12/23/2020,Female,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1,2017,4140,Kuwait
96,Annapurna Luxury Trek,"
$1,450    USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,8/20/2020,Male,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,0,2017,4170,Kyrgyzstan
97,Annapurna Panorama Trek,"
$860    USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,3/27/2022,Male,29,Private Sector/Self Employed,Yes,350000,7,0,No,No,0,2017,4180,Laos
98,Annapurna Tilicho Lake Trek,"
$1,450    USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,3/24/2022,Male,29,Private Sector/Self Employed,Yes,1100000,6,0,No,No,0,2017,4220,Lebanon
99,Short Annapurna Trek,"
$590    USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,7/15/2020,Female,29,Government Sector,Yes,600000,3,0,No,No,0,2017,4260,Lesot
100,Manaslu Circuit Trek,"
$1,450    USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,9/7/2021,Male,28,Private Sector/Self Employed,Yes,1300000,6,1,No,No,1,2017,4280,Latvia
101,Manaslu Circuit Trekking,"
$1,380    USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,8/18/2021,Non-Binary,33,Private Sector/Self Employed,Yes,1500000,3,1,Yes,Yes,1,2017,4300,Liberia
102,Tsum Valley with Manaslu Trek,"
$1,850    USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,6/10/2023,Male,29,Private Sector/Self Employed,Yes,500000,3,1,No,No,0,2017,4340,Libya
103,Upper Mustang Trek,"
$2,150    USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,4/19/2023,Non-Binary,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1,2017,4380,Liechtenstein
104,Upper Mustang Trek with Yara,"
$2,300    USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,2/29/2020,Female,28,Private Sector/Self Employed,Yes,1150000,3,0,No,No,0,2017,4400,Lithuania
105,Upper Mustang Tiji Festival Trek,"
$2,150    USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,2/20/2020,Non-Binary,28,Private Sector/Self Employed,Yes,750000,3,0,No,No,0,2017,4420,Luxembourg
106,Langtang Valley Trek,"
$750    USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,1/4/2022,Male,34,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0,2017,4460,Macau
107,Langtang Gosaikunda Trek,"
$1,180    USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,7/7/2021,Male,34,Private Sector/Self Employed,Yes,850000,3,1,No,Yes,0,2017,4461,Macau travel certificate
108,Tamang Heritage Trek,"
$920    USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,1/29/2023,Transgender,26,Private Sector/Self Employed,Yes,1300000,4,0,No,No,1,2017,4500,Madagascar
109,Tamang Heritage Trail,"
$750    USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,8/17/2020,Transgender,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,1,2017,4540,Malawi
110,Helambu Trek,"
$780    USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,6/10/2022,Male,31,Government Sector,Yes,400000,5,0,No,No,0,2017,4580,Malaysia
111,Annapurna Base Camp Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/9/2021,Female,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0,2017,4620,Maldives
112,Everest Base Camp Trek for Youths  ," $1,750    USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/7/2023,Female,30,Private Sector/Self Employed,No,800000,4,0,No,No,0,2017,4660,Mari
113,Everest Base Camp Short Trek  ," $1,499    USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/5/2023,Non-Binary,29,Private Sector/Self Employed,Yes,900000,4,0,Yes,No,0,2017,4700,Malta
114,Everest Base Camp Trek  ," $1,499    USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/22/2020,Male,29,Private Sector/Self Employed,Yes,500000,5,0,No,No,0,2017,4780,Mauritania
115,Annapurna Circuit Trek  ," $1,499    USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/10/2022,Male,29,Private Sector/Self Employed,Yes,900000,4,0,No,No,0,2017,4800,Mauritius
116,Everest Base Camp Luxury Lodge Trek  ," $1,499    USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/3/2020,Male,28,Private Sector/Self Employed,Yes,1150000,5,0,No,No,1,2017,4840,Mexico
117,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499    USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/17/2020,Female,31,Government Sector,Yes,400000,5,0,No,No,0,2017,4920,Monaco
118,Upper Mustang Trek  ," $1,499    USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/22/2022,Non-Binary,31,Government Sector,Yes,1500000,4,1,Yes,Yes,1,2017,4960,Mongolia
119,Everest Advanced Base Camp Trek from Tibet  ," $1,499    USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/28/2022,Transgender,31,Private Sector/Self Employed,Yes,500000,4,0,No,No,0,2017,4980,Moldoba
120,Gokyo Lakes and Gokyo Ri Trek  ," $1,499    USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/19/2022,Non-Binary,28,Private Sector/Self Employed,Yes,800000,3,1,No,No,0,2017,4990,Montenegro
121,Mardi Himal Trek  ," $1,499    USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/10/2022,Transgender,26,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,1,2017,5040,Morocco
122,Manaslu Circuit Trek  ," $1,499    USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/28/2020,Transgender,32,Government Sector,Yes,800000,6,1,No,No,0,2017,5080,Mozambique
123,Langtang Valley Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/16/2021,Transgender,27,Government Sector,Yes,850000,3,0,No,No,0,2017,5120,Oman
124,Annapurna Sanctuary Trek  ," $1,499    USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/27/2023,Transgender,32,Government Sector,Yes,350000,4,1,No,No,0,2017,5160,Namibia
125,Rara Lake Trek  ," $1,499    USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/21/2022,Non-Binary,29,Private Sector/Self Employed,Yes,500000,3,1,No,No,1,2017,5200,Naure
126,Everest High Passes Trek  ," $1,499    USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/29/2022,Female,32,Government Sector,Yes,800000,5,0,Yes,No,0,2017,5240,Nepal
127,Kanchenjunga Circuit Trek  ," $1,499    USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/1/2020,Non-Binary,27,Government Sector,Yes,750000,5,0,No,No,0,2017,5280,Netherlands
128,Everest View Trek  ," $1,499    USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/2/2021,Transgender,31,Private Sector/Self Employed,Yes,1350000,8,0,No,Yes,1,2017,5480,Vanuatsu
129,Tsum Valley Trek  ," $1,499    USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/28/2021,Female,29,Private Sector/Self Employed,Yes,1050000,6,0,No,No,0,2017,5540,new zealand
130,The Royal Trek  ," $1,499    USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/29/2021,Transgender,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0,2017,5580,Nicaragua
131,Makalu Base Camp Trek  ," $1,499    USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/14/2020,Transgender,28,Private Sector/Self Employed,Yes,750000,4,0,No,No,0,2017,5620,Nigail
132,"Langtang, Gosainkunda and Helambu Trek  "," $1,499    USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/9/2020,Female,28,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0,2017,5660,Nigeria
133,Nar Phu Valley Trek  ," $1,499    USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/10/2021,Transgender,25,Private Sector/Self Employed,Yes,1750000,4,0,No,Yes,1,2017,5780,Norway
134,Annapurna Circle Trek  ," $1,499    USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/23/2022,Female,28,Private Sector/Self Employed,Yes,600000,5,0,Yes,No,0,2017,5830,Micronesia
135,Everest Kangshung Face Trek  ," $1,499    USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/28/2022,Transgender,28,Private Sector/Self Employed,Yes,800000,6,0,No,Yes,1,2017,5840,Marshall
136,Tsum Valley and Manaslu Trek  ," $1,499    USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/8/2020,Non-Binary,29,Private Sector/Self Employed,Yes,500000,6,0,No,No,1,2017,5850,Palao
137,Khopra Ridge Community Trek  ," $1,499    USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/16/2023,Transgender,29,Private Sector/Self Employed,Yes,600000,4,1,Yes,No,0,2017,5860,Pakistan
138,Nepal Experience Tour  ," $1,499    USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/4/2022,Transgender,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,0,2017,5910,Panama
139,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499    USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/14/2022,Non-Binary,35,Private Sector/Self Employed,No,800000,7,1,No,No,1,2017,5980,Papua New Guinea
140,Annapurna With Tilicho Lake Trek  ," $1,499    USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/24/2023,Transgender,28,Private Sector/Self Employed,Yes,550000,4,1,No,No,0,2017,6000,Paraguay
141,Langtang Valley Trek with Ganja la Pass  ," $1,499    USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/8/2023,Transgender,25,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,0,2017,6040,Peru
142,Tamang Heritage Trek  ," $1,499    USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/26/2022,Female,32,Government Sector,Yes,350000,9,1,No,No,0,2017,6080,Philippines
143,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499    USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/17/2020,Non-Binary,26,Private Sector/Self Employed,Yes,1300000,4,0,No,No,0,2017,6160,Poland
144,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499    USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/20/2020,Male,31,Private Sector/Self Employed,Yes,1250000,4,0,No,No,0,2017,6200,Portugal
145,Nepal Hiking and Culture Tour  ," $1,499    USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/17/2021,Transgender,28,Private Sector/Self Employed,Yes,1150000,6,0,No,No,0,2017,6240,Guinea Visau
146,Annapurna Sunrise and Everest View Trek  ," $1,499    USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/30/2022,Male,30,Private Sector/Self Employed,No,750000,3,1,No,No,1,2017,6260,East Timor Democratic Republic
147,Tenzing Hillary Everest Marathon  ," $1,499    USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/17/2020,Transgender,31,Government Sector,No,400000,4,1,No,No,0,2017,6340,Qatar
148,Everest Base Camp Trek,$1450    USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/31/2023,Non-Binary,25,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1,2017,6420,Romania
149,Everest Kalapathar Trekking,$1390    USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/14/2021,Non-Binary,28,Private Sector/Self Employed,Yes,800000,5,1,No,No,0,2017,6430,Russia
150,Everest Panorama Trek,$1040    USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/3/2022,Transgender,28,Private Sector/Self Employed,Yes,650000,2,1,No,No,1,2017,6460,Rwanda
151,Everest Base Camp Trek via Gokyo Lake,$1530    USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/27/2022,Non-Binary,29,Private Sector/Self Employed,Yes,1200000,7,0,No,No,1,2017,6590,St. Christopher Navis
152,Gokyo Lake Trek,$1190    USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/7/2021,Male,28,Private Sector/Self Employed,Yes,1200000,5,0,Yes,No,0,2017,6620,St. Lucia
153,Everest Base Camp Heli Trek,$3600    USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/28/2021,Female,25,Private Sector/Self Employed,No,600000,5,0,Yes,No,0,2017,6700,St. Vincent
154,Annapurna Circuit Trek,$1100    USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/7/2022,Female,28,Private Sector/Self Employed,Yes,700000,4,0,Yes,No,0,2017,6740,Sun Marino
155,Annapurna Base Camp Trek,$1090    USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/19/2021,Transgender,34,Private Sector/Self Employed,Yes,1300000,6,0,No,No,1,2017,6780,Santa Principa
156,Ghorepani Poon Hill Trek,$450    USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/22/2021,Female,28,Private Sector/Self Employed,Yes,900000,4,0,Yes,No,0,2017,6820,Saudi Arabia
157,Upper Mustang Trek,$2100    USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,10/14/2022,Male,28,Private Sector/Self Employed,Yes,600000,3,1,No,No,0,2017,6860,Senegal
158,Mardi Himal Trek,$590    USD,9 Days,Easy-Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/6/2022,Female,31,Private Sector/Self Employed,Yes,1250000,6,0,Yes,No,1,2017,6880,Serbia
159,Langtang Valley Trekking,$690   USD,11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/5/2022,Male,27,Government Sector,Yes,900000,7,1,No,No,0,2017,6900,Saechel
160,Manaslu Circuit Trek,$1190    USD,17 Days,Moderate-Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/24/2022,Female,31,Government Sector,Yes,1200000,5,1,No,No,1,2017,6940,Sierra Leone
161,Annapurna Base Camp Trek,"
$1,090   USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,7/30/2023,Non-Binary,34,Private Sector/Self Employed,No,1400000,3,1,No,Yes,1,2017,7020,Singapore
162,Annapurna Base Camp Short Trek,"
$1,090   USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,5/19/2023,Male,34,Private Sector/Self Employed,Yes,500000,7,0,No,No,1,2017,7030,Slovakia
163,Instant Annapurna Base Camp Trek,"
$980   USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,10/1/2022,Male,32,Government Sector,Yes,350000,5,0,No,No,0,2017,7040,Vietnam
164,Annapurna Base Camp Heli Trek,"
$1,750   USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,5/27/2023,Transgender,28,Government Sector,Yes,300000,6,0,No,No,0,2017,7050,Slovenia
165,Mardi Himal Trek,"
$850   USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,12/31/2021,Non-Binary,33,Government Sector,Yes,1000000,4,0,No,No,0,2017,7060,Somalia
166,Mardi Himal Trekking,"
$850   USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,8/1/2023,Male,28,Private Sector/Self Employed,Yes,800000,7,0,No,No,0,2017,7100,Republic of South Africa
167,Classic Annapurna Circuit Trek,"
$1,350   USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,11/18/2022,Female,31,Government Sector,Yes,400000,3,0,No,No,0,2017,7160,Zimbabwe
168,Annapurna Circuit Trek,"
$1,250   USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,8/18/2021,Transgender,27,Government Sector,Yes,850000,7,1,No,No,0,2017,7240,Spain
169,Annapurna Circuit Short Trek,"
$1,250   USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,2/9/2022,Non-Binary,25,Private Sector/Self Employed,No,600000,6,0,No,No,0,2017,7280,South Sudan
170,Annapurna Luxury Trek,"
$1,450   USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,3/26/2022,Transgender,31,Private Sector/Self Employed,Yes,1350000,6,1,No,Yes,1,2017,7290,Sudan
171,Annapurna Panorama Trek,"
$860   USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,9/19/2022,Transgender,28,Private Sector/Self Employed,Yes,900000,7,0,No,No,0,2017,7400,Slinum
172,Annapurna Tilicho Lake Trek,"
$1,450   USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,2/8/2021,Male,27,Private Sector/Self Employed,No,600000,8,0,No,No,0,2017,7480,Swaji Land
173,Short Annapurna Trek,"
$590   USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,1/19/2022,Non-Binary,26,Private Sector/Self Employed,Yes,450000,5,1,No,No,1,2017,7520,Sweden
174,Manaslu Circuit Trek,"
$1,450   USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,8/17/2020,Transgender,34,Private Sector/Self Employed,Yes,700000,6,0,Yes,No,1,2017,7560,Switzerland
175,Manaslu Circuit Trekking,"
$1,380   USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,1/20/2023,Non-Binary,30,Private Sector/Self Employed,No,800000,3,0,No,No,0,2017,7600,Syria
176,Tsum Valley with Manaslu Trek,"
$1,850   USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,7/13/2023,Female,34,Private Sector/Self Employed,Yes,1050000,6,0,No,No,1,2017,7620,Tajikistan
177,Upper Mustang Trek,"
$2,150   USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,5/10/2022,Female,28,Private Sector/Self Employed,Yes,1250000,5,0,No,No,0,2017,7640,Thailand
178,Upper Mustang Trek with Yara,"
$2,300   USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,9/12/2022,Male,32,Government Sector,Yes,350000,6,0,No,No,0,2017,7680,Togo
179,Upper Mustang Tiji Festival Trek,"
$2,150   USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,3/5/2023,Female,26,Private Sector/Self Employed,Yes,1250000,4,0,No,No,0,2017,7760,Tonga
180,Langtang Valley Trek,"
$750   USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,6/5/2021,Non-Binary,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,0,2017,7800,Republic of Trinidad and Tobago
181,Langtang Gosaikunda Trek,"
$1,180   USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,3/1/2023,Female,26,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0,2017,7840,United Arab Emirates
182,Tamang Heritage Trek,"
$920   USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,8/10/2022,Male,35,Private Sector/Self Employed,No,800000,3,0,Yes,No,1,2017,7880,Tunisia
183,Tamang Heritage Trail,"
$750   USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,11/30/2020,Transgender,25,Private Sector/Self Employed,No,1700000,3,1,Yes,No,0,2017,7920,Turkey
184,Helambu Trek,"
$780   USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,6/17/2023,Transgender,25,Government Sector,Yes,750000,3,0,No,No,0,2017,7950,Torque menistan
185,Annapurna Base Camp Trek  ," $1,499   USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/15/2020,Transgender,28,Government Sector,Yes,300000,4,0,No,No,1,2017,7980,Tsubaru
186,Everest Base Camp Trek for Youths  ," $1,750   USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/9/2020,Male,28,Private Sector/Self Employed,Yes,500000,9,0,No,No,1,2017,8000,Uganda
187,Everest Base Camp Short Trek  ," $1,499   USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/24/2022,Non-Binary,28,Private Sector/Self Employed,Yes,650000,9,0,No,No,0,2017,8040,Ukraine
188,Everest Base Camp Trek  ," $1,499   USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/22/2021,Male,26,Government Sector,Yes,500000,4,0,No,No,0,2017,8070,Former Macedonia Yugoslavia Republic
